,Battery,Brand,Multi_core,Name,OpenCL,Processor,Processor_Cores,Processor_Frequency,RenderScript,Single_core
0,3160,Samsung,9818,Samsung Galaxy S10,16974,Samsung Exynos 9820,8,1950 MHz,9441,4314
1,3794,Samsung,9892,Samsung Galaxy S10+,17077,Samsung Exynos 9820,8,1950 MHz,9520,4313
2,4690,Samsung,9788,Samsung Galaxy S10e,17630,Samsung Exynos 9820,8,1950 MHz,9383,4253
3,5154,Samsung,8804,Samsung Galaxy Note 9,13452,Samsung Exynos 9810,8,1794 MHz,9353,3467
4,5020,Samsung,10645,Samsung Galaxy S10+,14426,Qualcomm Snapdragon 855,8,1785 MHz,7280,3430
5,5990,Samsung,10598,Samsung Galaxy S10,14206,Qualcomm Snapdragon 855,8,1785 MHz,7284,3422
6,5690,Samsung,10513,Samsung Galaxy S10e,14450,Qualcomm Snapdragon 855,8,1785 MHz,7336,3414
7,4096,Samsung,8671,Samsung Galaxy S9+,13490,Samsung Exynos 9810,8,1794 MHz,8585,3335
8,5833,Huawei,9771,Huawei Mate 20 Pro,13986,HiSilicon Kirin 980,8,1805 MHz,7629,3331
9,3960,Samsung,8527,Samsung Galaxy S9,13197,Samsung Exynos 9810,8,1794 MHz,8705,3289
10,3880,HTC,8711,HTC U12+,13266,Qualcomm Snapdragon 845,8,1766 MHz,13476,2406
11,N/A,Xiaomi,8367,Xiaomi Black Shark,11561,Qualcomm Snapdragon 845,8,1766 MHz,13220,2392
12,3565,OnePlus,8846,OnePlus 6,13181,Qualcomm Snapdragon 845,8,1766 MHz,13505,2390
13,N/A,Vivo,8769,Vivo NEX S,13109,Qualcomm Snapdragon 845,8,1766 MHz,13620,2390
14,3209,Asus,8554,Asus Zenfone 5z,13241,Qualcomm Snapdragon 845,8,1766 MHz,13482,2383
15,3681,Sony,8389,Sony Xperia XZ2,13078,Qualcomm Snapdragon 845,8,1766 MHz,13340,2378
16,4873,OnePlus,8842,OnePlus 6T,13130,Qualcomm Snapdragon 845,8,1766 MHz,13165,2372
17,4783,Samsung,8532,Samsung Galaxy Note 9,13010,Qualcomm Snapdragon 845,8,1766 MHz,13256,2358
18,N/A,Sony,8280,Sony Xperia XZ2 Compact,13081,Qualcomm Snapdragon 845,8,1766 MHz,13233,2351
19,3770,LG,8445,LG G7 ThinQ,13059,Qualcomm Snapdragon 845,8,1766 MHz,13153,2317
20,4150,Samsung,8306,Samsung Galaxy S9+,12992,Qualcomm Snapdragon 845,8,1766 MHz,13406,2292
21,4270,Google,8039,Google Pixel 3 XL,N/A,Qualcomm Snapdragon 845,8,1766 MHz,13325,2290
22,3420,Samsung,8239,Samsung Galaxy S9,12708,Qualcomm Snapdragon 845,8,1766 MHz,13121,2281
23,3965,Xiaomi,8243,Xiaomi Mi 8,13262,Qualcomm Snapdragon 845,8,1766 MHz,13090,2279
24,3013,Xiaomi,8148,Xiaomi Mix 2S,13291,Qualcomm Snapdragon 845,8,1766 MHz,13318,2259
25,N/A,Google,7770,Google Pixel 3,13451,Qualcomm Snapdragon 845,8,1766 MHz,13217,2244
26,4575,Xiaomi,7697,Xiaomi Pocophone F1,13340,Qualcomm Snapdragon 845,8,1766 MHz,12922,2194
27,N/A,Xiaomi,7148,Xiaomi Poco F1,13326,Qualcomm Snapdragon 845,8,1766 MHz,12621,2093
28,3844,Samsung,6405,Samsung Galaxy Note 8,13930,Samsung Exynos 8895 Octa,8,1690 MHz,9907,1951
29,3948,Samsung,6386,Samsung Galaxy S8,13873,Samsung Exynos 8895 Octa,8,1690 MHz,9210,1941
30,3960,OnePlus,6612,OnePlus 5T,10846,Qualcomm MSM8998 Snapdragon 835,8,1900 MHz,7859,1941
31,4097,Samsung,6350,Samsung Galaxy S8+,13802,Samsung Exynos 8895 Octa,8,1690 MHz,9035,1939
32,N/A,HTC,6409,HTC U11+,11041,Qualcomm MSM8998 Snapdragon 835,8,1900 MHz,7882,1925
33,N/A,ZTE,6437,ZTE Nubia Z17S,10753,Qualcomm MSM8998 Snapdragon 835,8,1900 MHz,7823,1922
34,5308,ZTE,6303,ZTE Nubia Z17,10556,Qualcomm MSM8998 Snapdragon 835,8,1900 MHz,7702,1914
35,N/A,HTC,6333,HTC U11,10923,Qualcomm MSM8998 Snapdragon 835,8,1900 MHz,7938,1913
36,5360,Razer,6603,Razer Phone,10962,Qualcomm MSM8998 Snapdragon 835,8,1900 MHz,7908,1913
37,4630,Meizu,6330,Meizu 15 Plus,N/A,Samsung Exynos 8895 Octa,8,1690 MHz,8067,1911
38,3375,Nokia,6431,Nokia 8,11189,Qualcomm MSM8998 Snapdragon 835,8,1900 MHz,7839,1908
